Order ID,Order Date,Customer ID,Product Name,Category,Region,Sales,Profit
CA-2016-152156,2016-08-11,CG-12520,Bush Somerset Collection Bookcase,Furniture,South,261.96,41.9136
CA-2016-152156,2016-08-11,CG-12520,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,South,731.94,219.582
CA-2016-138688,2016-12-06,DV-13045,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,West,14.62,6.8714
US-2015-108966,2015-11-10,SO-20335,Bretford CR4500 Series Slim Rectangular Table,Furniture,South,957.5775,-383.031
US-2015-108966,2015-11-10,SO-20335,Eldon Fold 'N Roll Cart System,Office Supplies,South,22.368,2.5164
CA-2014-115812,2014-09-06,BH-11710,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,West,48.86,14.1694
CA-2014-115812,2014-09-06,BH-11710,Newell 322,Office Supplies,West,7.28,1.9656
CA-2014-115812,2014-09-06,BH-11710,Mitel 5320 IP Phone VoIP phone,Technology,West,907.152,90.7152
CA-2014-115812,2014-09-06,BH-11710,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,West,18.504,5.7825
CA-2014-115812,2014-09-06,BH-11710,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,West,114.9,34.47
CA-2014-115812,2014-09-06,BH-11710,Chromcraft Rectangular Conference Tables,Furniture,West,1706.184,85.3092
CA-2014-115812,2014-09-06,BH-11710,Konftel 250 Conference phone - Charcoal black,Technology,West,911.424,68.3568
CA-2016-161389,2016-05-12,IM-15070,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,West,407.976,132.5922
CA-2014-105893,2014-11-11,PK-19075,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Central,665.88,13.3176
CA-2016-137330,2016-09-12,KB-16585,Newell 318,Office Supplies,Central,19.46,5.0596
CA-2016-137330,2016-09-12,KB-16585,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Central,60.34,15.6884
CA-2016-117590,2016-08-12,GH-14485,GE 30524EE4,Technology,Central,1097.544,123.4737
CA-2016-117590,2016-08-12,GH-14485,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Central,190.92,-147.963
CA-2017-120999,2017-10-09,LC-16930,Panasonic Kx-TS550,Technology,Central,147.168,16.5564
CA-2016-118255,2016-11-03,ON-18715,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Central,45.98,19.7714
CA-2016-118255,2016-11-03,ON-18715,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Central,17.46,8.2062
CA-2016-105816,2016-11-12,JM-15265,Advantus Push Pins,Office Supplies,East,15.26,6.2566
CA-2016-105816,2016-11-12,JM-15265,AT&T CL83451 4-Handset Telephone,Technology,East,1029.95,298.6855
CA-2014-106376,2014-05-12,BS-11590,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,West,1113.024,111.3024
CA-2014-106376,2014-05-12,BS-11590,netTALK DUO VoIP Telephone Service,Technology,West,167.968,62.988
CA-2016-119823,2016-04-06,KD-16270,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,South,75.88,35.6636
US-2017-118038,2017-09-12,KB-16600,Economy Binders,Office Supplies,Central,1.248,-1.9344
US-2017-118038,2017-09-12,KB-16600,"6"" Cubicle Wall Clock, Black",Furniture,Central,9.708,-5.8248
US-2017-118038,2017-09-12,KB-16600,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Central,27.24,2.724
CA-2016-127208,2016-12-06,SC-20770,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,South,208.16,56.2032
CA-2016-127208,2016-12-06,SC-20770,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,South,16.74,8.0352
CA-2014-139451,2014-12-10,DN-13690,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,West,14.9,4.172
CA-2014-139451,2014-12-10,DN-13690,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,West,21.39,6.2031
CA-2015-149734,2015-03-09,JC-16105,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,South,200.984,62.8075
CA-2016-159695,2016-05-04,GM-14455,Eldon Portable Mobile Manager,Office Supplies,Central,158.368,13.8572
US-2017-109484,2017-06-11,RB-19705,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,West,5.682,-3.788
CA-2017-161018,2017-09-11,PN-18775,9-3/4 Diameter Round Wall Clock,Furniture,East,96.53,40.5426
CA-2016-149223,2016-06-09,ER-13855,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Central,77.88,22.5852
CA-2016-129903,2016-01-12,GZ-14470,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Central,23.92,11.7208
CA-2016-128867,2016-03-11,CL-12565,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Central,75.96,22.788
CA-2016-128867,2016-03-11,CL-12565,"Avery Durable Plastic 1"" Binders",Office Supplies,Central,27.24,13.3476
CA-2015-110457,2015-02-03,DK-13090,Hon Racetrack Conference Tables,Furniture,West,787.53,165.3813
US-2015-136476,2015-05-04,GG-14650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,South,157.794,-115.7156
CA-2016-103730,2016-12-06,SC-20725,Artistic Insta-Plaque,Furniture,East,47.04,18.3456
CA-2016-103730,2016-12-06,SC-20725,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,East,30.84,13.878
CA-2016-103730,2016-12-06,SC-20725,"Companion Letter/Legal File, Black",Office Supplies,East,226.56,63.4368
CA-2016-103730,2016-12-06,SC-20725,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,East,115.02,51.759
CA-2016-103730,2016-12-06,SC-20725,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,East,68.04,19.7316
US-2017-107272,2017-05-11,TS-21610,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,West,2.388,-1.8308
US-2017-107272,2017-05-11,TS-21610,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,West,243.992,30.499
US-2016-125969,2016-06-11,LS-16975,"Global Task Chair, Black",Furniture,West,81.424,-9.1602
US-2016-125969,2016-06-11,LS-16975,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,West,238.56,26.2416
US-2017-164147,2017-02-02,DW-13585,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,East,59.97,-11.994
US-2017-164147,2017-02-02,DW-13585,Xerox 1916,Office Supplies,East,78.304,29.364
US-2017-164147,2017-02-02,DW-13585,Staples,Office Supplies,East,21.456,6.9732
CA-2016-110366,2016-05-09,JD-15895,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,East,82.8,10.35
CA-2015-110744,2015-07-09,HA-14920,Safco Industrial Wire Shelving,Office Supplies,West,671.93,20.1579
CA-2016-114489,2016-05-12,JE-16165,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Central,384.45,103.8015
CA-2016-114489,2016-05-12,JE-16165,Anker Astro 15000mAh USB Portable Charger,Technology,Central,149.97,5.9988
CA-2016-114489,2016-05-12,JE-16165,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Central,1951.84,585.552
CA-2016-114489,2016-05-12,JE-16165,GBC Prestige Therm-A-Bind Covers,Office Supplies,Central,171.55,80.6285
CA-2014-104269,2014-01-03,DB-13060,Global Deluxe High-Back Manager's Chair,Furniture,West,457.568,51.4764
CA-2016-162733,2016-11-05,TT-21070,Xerox 1920,Office Supplies,West,5.98,2.691
CA-2016-113817,2016-07-11,MJ-17740,Wilson Jones International Size A4 Ring Binders,Office Supplies,West,27.68,9.688
CA-2014-139892,2014-08-09,BM-11140,BIC Brite Liner Highlighters,Office Supplies,Central,9.936,2.7324
CA-2014-139892,2014-08-09,BM-11140,Lexmark MX611dhe Monochrome Laser Printer,Technology,Central,8159.952,-1359.992
CA-2014-139892,2014-08-09,BM-11140,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Central,275.928,-58.6347
CA-2014-139892,2014-08-09,BM-11140,SAFCO Arco Folding Chair,Furniture,Central,1740.06,-24.858
CA-2014-139892,2014-08-09,BM-11140,Sanford Liquid Accent Highlighters,Office Supplies,Central,32.064,6.8136
CA-2014-139892,2014-08-09,BM-11140,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Central,177.98,-453.849
CA-2014-139892,2014-08-09,BM-11140,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Central,143.976,8.9985
CA-2014-118962,2014-05-08,CS-12130,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,West,20.94,9.8418
CA-2014-118962,2014-05-08,CS-12130,Xerox 1913,Office Supplies,West,110.96,53.2608
CA-2014-118962,2014-05-08,CS-12130,"Global Value Steno Chair, Gray",Furniture,West,340.144,21.259
CA-2014-166191,2014-05-12,DK-13150,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Central,24.816,1.8612
CA-2014-166191,2014-05-12,DK-13150,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Central,408.744,76.6395
CA-2015-102281,2015-12-10,MP-17470,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,East,899.136,112.392
CA-2015-102281,2015-12-10,MP-17470,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,East,71.76,20.0928
CA-2015-102281,2015-12-10,MP-17470,Xerox 205,Office Supplies,East,51.84,24.8832
CA-2015-102281,2015-12-10,MP-17470,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,East,626.352,46.9764
CA-2015-102281,2015-12-10,MP-17470,4009 Highlighters by Sanford,Office Supplies,East,19.9,6.567
CA-2017-107720,2017-06-11,VM-21685,Decoflex Hanging Personal Folder File,Office Supplies,East,46.26,12.0276
US-2017-124303,2017-06-07,FH-14365,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,East,2.946,-2.2586
US-2017-124303,2017-06-07,FH-14365,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,East,16.056,5.8203
CA-2014-133690,2014-03-08,BS-11755,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,West,218.75,-161.875
CA-2014-133690,2014-03-08,BS-11755,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,West,2.6,0.2925
CA-2017-126382,2017-03-06,HK-14890,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,South,35.168,9.6712
CA-2017-108329,2017-09-12,LE-16810,Nortel Business Series Terminal T7208 Digital phone,Technology,West,444.768,44.4768
CA-2017-135860,2017-01-12,JH-15985,"Tennsco Lockers, Gray",Office Supplies,Central,83.92,5.8744
CA-2017-135860,2017-01-12,JH-15985,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Central,131.98,35.6346
CA-2017-135860,2017-01-12,JH-15985,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Central,15.92,7.4824
CA-2017-135860,2017-01-12,JH-15985,"Advantus Push Pins, Aluminum Head",Office Supplies,Central,52.29,16.2099
CA-2017-135860,2017-01-12,JH-15985,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Central,91.99,3.6796
CA-2015-101007,2015-09-02,MS-17980,Memorex Micro Travel Drive 8 GB,Technology,Central,20.8,6.5
CA-2015-146262,2015-02-01,VW-21775,Avery 505,Office Supplies,East,23.68,8.88
CA-2015-146262,2015-02-01,VW-21775,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,East,452.45,-244.323
CA-2015-146262,2015-02-01,VW-21775,Speck Products Candyshell Flip Case,Technology,East,62.982,-14.6958
CA-2015-146262,2015-02-01,VW-21775,Cisco 9971 IP Video Phone Charcoal,Technology,East,1188.0,-950.4
CA-2015-146262,2015-02-01,VW-21775,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,East,89.584,4.4792
CA-2015-163055,2015-09-08,DS-13180,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Central,2.2,0.968
CA-2015-163055,2015-09-08,DS-13180,Bevis 36 x 72 Conference Tables,Furniture,Central,622.45,136.939
CA-2015-163055,2015-09-08,DS-13180,Rogers Deluxe File Chest,Office Supplies,Central,21.98,0.2198
